[2026-04-19 09:00:00] INFO  Starting synthetic training run
[2026-04-19 12:40:24] INFO  Epoch 35/50 - loss: 0.1624 - val_loss: 0.1988 - acc: 0.925 - precision: 0.914 - recall: 0.907 - mIoU: 0.784 - gpu_temp: 72.8C
[2026-04-19 12:46:31] INFO  Epoch 36/50 - loss: 0.1579 - val_loss: 0.1940 - acc: 0.928 - precision: 0.917 - recall: 0.910 - mIoU: 0.787 - gpu_temp: 72.9C
[2026-04-19 12:52:38] INFO  Epoch 37/50 - loss: 0.1537 - val_loss: 0.1897 - acc: 0.930 - precision: 0.919 - recall: 0.913 - mIoU: 0.790 - gpu_temp: 73.0C
[2026-04-19 12:58:45] INFO  Epoch 38/50 - loss: 0.1498 - val_loss: 0.1856 - acc: 0.932 - precision: 0.921 - recall: 0.915 - mIoU: 0.793 - gpu_temp: 73.0C
[2026-04-19 13:04:52] INFO  Epoch 39/50 - loss: 0.1462 - val_loss: 0.1818 - acc: 0.934 - precision: 0.923 - recall: 0.917 - mIoU: 0.796 - gpu_temp: 73.1C
[2026-04-19 13:10:59] INFO  Epoch 40/50 - loss: 0.1429 - val_loss: 0.1784 - acc: 0.936 - precision: 0.925 - recall: 0.919 - mIoU: 0.799 - gpu_temp: 73.1C
[2026-04-19 13:17:06] INFO  Epoch 41/50 - loss: 0.1398 - val_loss: 0.1751 - acc: 0.938 - precision: 0.927 - recall: 0.921 - mIoU: 0.802 - gpu_temp: 73.2C
[2026-04-19 13:23:13] INFO  Epoch 42/50 - loss: 0.1369 - val_loss: 0.1721 - acc: 0.940 - precision: 0.929 - recall: 0.923 - mIoU: 0.805 - gpu_temp: 73.2C
[2026-04-19 13:29:20] INFO  Epoch 43/50 - loss: 0.1341 - val_loss: 0.1693 - acc: 0.942 - precision: 0.931 - recall: 0.925 - mIoU: 0.808 - gpu_temp: 73.3C
[2026-04-19 13:35:27] INFO  Epoch 44/50 - loss: 0.1316 - val_loss: 0.1668 - acc: 0.943 - precision: 0.933 - recall: 0.927 - mIoU: 0.810 - gpu_temp: 73.3C
[2026-04-19 13:41:34] INFO  Epoch 45/50 - loss: 0.1292 - val_loss: 0.1644 - acc: 0.945 - precision: 0.934 - recall: 0.928 - mIoU: 0.812 - gpu_temp: 73.4C
[2026-04-19 13:47:41] INFO  Epoch 46/50 - loss: 0.1271 - val_loss: 0.1623 - acc: 0.946 - precision: 0.935 - recall: 0.930 - mIoU: 0.875 - gpu_temp: 73.4C
[2026-04-19 13:53:48] INFO  Epoch 47/50 - loss: 0.1250 - val_loss: 0.1604 - acc: 0.947 - precision: 0.936 - recall: 0.931 - mIoU: 0.878 - gpu_temp: 73.5C
[2026-04-19 13:59:55] INFO  Epoch 48/50 - loss: 0.1233 - val_loss: 0.1588 - acc: 0.948 - precision: 0.937 - recall: 0.932 - mIoU: 0.881 - gpu_temp: 73.5C
[2026-04-19 14:06:02] INFO  Epoch 49/50 - loss: 0.1220 - val_loss: 0.1570 - acc: 0.949 - precision: 0.938 - recall: 0.933 - mIoU: 0.883 - gpu_temp: 73.6C
[2026-04-19 14:12:18] INFO  Epoch 50/50 - loss: 0.1210 - val_loss: 0.1480 - acc: 0.948 - precision: 0.936 - recall: 0.921 - mIoU: 0.884 - gpu_temp: 73.6C
[2026-04-19 14:12:18] INFO  Training complete
